Realization,utility,infra.,period,UniqueCount
Path 18 {139},3,9,35's - 39's,10
Path 18 {174},3,20,45's - 49's,4
Path 18 {309},3,12,35's - 39's,8
Path 18 {309},3,9,40's - 44's,11
Path 19 {40},3,9,40's - 44's,14
Path 19 {122},3,9,45's - 49's,5
Path 19 {136},3,9,25's - 29's,8
Path 19 {139},3,9,30's - 34's,20
Path 19 {139},3,12,40's - 44's,4
Path 19 {206},3,12,35's - 39's,1
Path 19 {206},3,20,40's - 44's,1
Path 19 {286},3,9,35's - 39's,6
Path 20 {1},3,20,20's - 24's,70
Path 20 {4},3,20,25's - 29's,59
Path 20 {4},3,9,35's - 39's,14
Path 20 {4},3,12,45's - 49's,1
Path 20 {8},3,20,30's - 34's,52
Path 20 {10},3,20,40's - 44's,26
Path 20 {20},3,20,35's - 39's,35
Path 20 {40},3,9,40's - 44's,17
Path 20 {57},3,9,30's - 34's,37
Path 20 {122},3,9,45's - 49's,5
Path 20 {136},3,9,25's - 29's,3
Path 20 {139},3,12,35's - 39's,7
Path 20 {206},3,12,30's - 34's,1
Path 20 {424},3,12,40's - 44's,4
Path 20 {666},3,20,45's - 49's,2
Path 21 {0},3,9,30's - 34's,170
Path 21 {3},3,20,35's - 39's,52
Path 21 {4},3,20,20's - 24's,162
Path 21 {4},3,9,25's - 29's,227
Path 21 {4},3,12,35's - 39's,49
Path 21 {8},3,20,30's - 34's,72
Path 21 {10},3,9,40's - 44's,74
Path 21 {16},3,9,35's - 39's,80
Path 21 {20},3,9,20's - 24's,36
Path 21 {20},3,12,40's - 44's,37
Path 21 {32},3,20,40's - 44's,44
Path 21 {40},3,20,15's - 19's,92
Path 21 {40},3,12,30's - 34's,71
Path 21 {74},3,9,45's - 49's,12
Path 21 {150},3,12,45's - 49's,4
Path 21 {284},3,20,10's - 14's,3
Path 21 {502},3,20,45's - 49's,1
Path 22 {0},3,20,15's - 19's,248
Path 22 {0},3,9,30's - 34's,103
Path 22 {3},3,20,30's - 34's,84
Path 22 {4},3,20,20's - 24's,132
Path 22 {4},3,12,35's - 39's,57
Path 22 {6},3,20,25's - 29's,114
Path 22 {10},3,9,40's - 44's,59
Path 22 {16},3,9,35's - 39's,60
Path 22 {20},3,12,45's - 49's,10
Path 22 {24},3,12,40's - 44's,24
Path 22 {29},3,20,35's - 39's,32
Path 22 {37},3,20,40's - 44's,23
Path 22 {40},3,9,25's - 29's,66
Path 22 {40},3,12,30's - 34's,45
Path 22 {244},3,9,45's - 49's,8
Path 22 {413},3,9,20's - 24's,2
Path 22 {478},3,20,45's - 49's,2
Path 23 {4},3,20,35's - 39's,29
Path 23 {40},3,20,40's - 44's,13
Path 23 {122},3,20,45's - 49's,4
Path 23 {136},3,20,25's - 29's,5
Path 23 {139},3,20,30's - 34's,17
Path 23 {139},3,12,40's - 44's,2
Path 23 {206},3,12,35's - 39's,1
Path 23 {206},3,9,40's - 44's,1
Path 24 {0},3,20,15's - 19's,90
Path 24 {3},3,20,35's - 39's,38
Path 24 {4},3,20,20's - 24's,140
Path 24 {4},3,9,30's - 34's,67
Path 24 {4},3,12,35's - 39's,14
Path 24 {6},3,20,40's - 44's,31
Path 24 {7},3,20,30's - 34's,86
Path 24 {8},3,20,25's - 29's,95
Path 24 {24},3,9,45's - 49's,5
Path 24 {28},3,9,35's - 39's,38
Path 24 {40},3,9,25's - 29's,43
Path 24 {53},3,12,40's - 44's,20
Path 24 {57},3,12,45's - 49's,9
Path 24 {136},3,12,30's - 34's,33
Path 24 {175},3,9,40's - 44's,18
Path 24 {339},3,20,45's - 49's,7
Path 25 {0},3,20,20's - 24's,71
Path 25 {4},3,20,25's - 29's,67
Path 25 {4},3,12,35's - 39's,18
Path 25 {4},3,9,40's - 44's,12
Path 25 {10},3,20,15's - 19's,47
Path 25 {16},3,20,30's - 34's,62
Path 25 {18},3,20,40's - 44's,22
Path 25 {20},3,20,35's - 39's,26
Path 25 {34},3,20,45's - 49's,5
Path 25 {40},3,12,45's - 49's,3
Path 25 {57},3,12,30's - 34's,36
Path 25 {136},3,12,25's - 29's,13
Path 25 {139},3,9,35's - 39's,14
Path 25 {189},3,12,40's - 44's,6
Path 25 {206},3,12,20's - 24's,1
Path 25 {206},3,9,30's - 34's,5
Path 25 {832},3,9,45's - 49's,1
Path 26 {0},3,20,10's - 14's,8
Path 26 {0},3,9,40's - 44's,32
Path 26 {1},3,20,15's - 19's,98
Path 26 {3},3,20,30's - 34's,89
Path 26 {4},3,20,20's - 24's,166
Path 26 {4},3,9,25's - 29's,83
Path 26 {4},3,12,35's - 39's,43
Path 26 {6},3,20,35's - 39's,45
Path 26 {7},3,20,25's - 29's,120
Path 26 {8},3,9,30's - 34's,86
Path 26 {10},3,9,45's - 49's,4
Path 26 {16},3,9,35's - 39's,44
Path 26 {29},3,20,45's - 49's,7
Path 26 {40},3,12,30's - 34's,62
Path 26 {62},3,12,40's - 44's,8
Path 26 {74},3,20,40's - 44's,24
Path 26 {189},3,12,45's - 49's,2
Path 26 {206},3,9,20's - 24's,11
Path 27 {206},3,9,40's - 44's,3
Path 28 {0},3,20,15's - 19's,239
