O_REL,O_RF,O_NPC,O_PFC,O_WCC,O_UC,D_REL,D_RF,D_NPC,D_PFC,D_WCC,D_UC,Ch_REL,Ch_RF,Ch_NPC,Ch_PFC,Ch_WCC,CH_UC,P_REL,P_RF,P_NPC,P_PFC,P_WCC,P_UC
1,0,47.650169,0.199537,0,1.023544,0.995,0.001489,153.644508,0.130367,0.147543,0.908177,1,0,9.157615,0.170338,0,0.752726,1,0,46.779205,0.341303,0.256972,44.687571
0.999,0,29.80612,0.181666,0,89.362381,0.957,0.033244,57.873833,0.116605,0.017019,338.008751,1,0,27.654095,0.592065,0,50.603202,1,0,23.032505,0.344092,2.27331,107.087308
0.999,0.000022,58.296651,0.266305,0,1.516941,0.976,0.0098,166.307147,0.224774,0,1.191487,1,0.083333,15.905418,0.340585,0,5.774642,0.995,0.073956,36.540373,0.374458,0.134973,1.247139
1,0,37.469202,0.261644,0,39.03109,0.992,0.011067,140.197139,0.162946,0,143.233196,1,0.035267,26.051655,0.514265,0,41.223173,1,0.060844,46.759536,0.553129,0.094021,93.281992
1,0,50.811227,0.273508,0.110642,1.415141,0.995,0.003111,136.114501,0.194759,0.050979,68.946967,1,0.081778,14.801245,0.263943,0.002065,2.47372,1,0.032844,32.306334,0.367164,0.105671,2.837231
1,0,44.591089,0.197614,0,47.800747,0.988,0.001644,133.728832,0.114631,0.027388,158.320392,1,0.027111,39.140291,0.701404,0,60.139251,1,0.034333,66.310961,0.774843,0.045833,339.726654
1,0,42.681206,0.267588,0,1.239976,0.993,0.012511,143.263767,0.217241,0,22.081747,1,0.0654,17.167644,0.337285,0,5.466488,0.999,0.030422,71.808101,0.788354,0.034535,219.241704
1,0,83.927067,0.400796,0,2.012677,0.987,0.028578,103.283782,0.167451,0,46.881687,1,0,10.25217,0.199661,0,2.396785,1,0,31.879783,0.319112,0.072585,24.208397
1,0,55.191688,0.27197,0,1.651465,0.992,0.000422,140.950334,0.213955,0,97.468544,1,0.053,14.056201,0.265707,0,5.962775,1,0.032622,31.695339,0.365638,0.063397,42.295179
1,0.060267,44.282798,0.263116,0.024969,4.928864,0.986,0.001867,73.271655,0.118661,0.12816,48.429653,1,0.0668,34.999607,0.601718,0.096935,19.028087,1,0.082222,67.367134,0.782568,0.821277,7.118345
0.999,0,51.768,0.339418,0,0.983516,0.923,0.014556,45.331153,0.080386,0.003879,0.220908,1,0,9.521048,0.241688,0.258861,1.626246,1,0,5.924174,0.089065,6.088301,0.117831
1,0,47.532973,0.312815,0,12.752816,0.986,0.003956,142.581568,0.173271,0,112.12599,1,0.068267,12.807421,0.224592,0.035579,2.986901,1,0.057889,29.285934,0.336183,0.069114,88.831137
0.999,0,50.41571,0.287349,0,0.933674,0.955,0.0014,73.103178,0.093093,0,0.371437,1,0.2306,11.022779,0.170995,0.053224,1.382397,1,0.081178,69.982264,0.510095,0.12407,80.329529
1,0,52.161456,0.249886,0,10.192889,0.986,0.002489,131.312435,0.206913,0,103.168482,1,0,13.168087,0.247959,0,8.569911,1,0,40.900626,0.356413,0.072328,5.595912
1,0,41.44529,0.284712,0,1.30876,0.993,0.005422,120.307731,0.172777,0,43.310258,1,0,28.278293,0.453283,0.005368,30.243916,0.999,0,50.553283,0.600639,0,5.599105
1,0,41.352805,0.250893,0,0.904908,0.978,0.013911,120.208295,0.158802,0,0.725886,1,0,21.315693,0.376074,0,3.428476,1,0,36.504387,0.37629,0.003228,109.915452
1,0,29.619869,0.244231,0,403.828742,0.993,0.000467,69.612144,0.160993,0,1070.563327,1,0.015556,69.781926,1.267307,0,886.843254,1,0.065044,74.200457,1.209085,0.401194,794.509436
1,0,62.687904,0.385395,0,68.59611,0.988,0.000044,173.206772,0.185998,0,44.118377,1,0.0308,21.714761,0.368919,0.042584,36.055081,1,0.029378,27.529316,0.295475,0.039198,11.939305
0.996,0,21.550053,0.178439,0,0.18837,0.91,0.017289,50.905758,0.136668,0,0.12074,1,0,1.251517,0.106703,0.096625,0.10034,1,0,30.739596,0.137809,2.853659,0.264483
0.999,0,41.307185,0.222738,0,0.827169,0.964,0.007622,44.423514,0.089251,0,0.24491,1,0,37.950759,0.741047,0,6.743685,1,0,59.146467,0.523081,1.13388,1.471429
1,0,29.261132,0.145992,0,201.260532,0.995,0.004111,74.552822,0.119362,0,659.812591,1,0.029444,65.551579,1.156317,0,431.992042,0.998,0.038111,73.693932,0.971724,0.026057,437.133962
1,0,75.325385,0.406954,0,78.243828,0.987,0,78.064497,0.066449,0.024474,79.568159,1,0.0676,32.353578,0.549941,0,46.408796,1,0.044222,73.353308,0.682489,0.4785,336.646539
1,0,37.650654,0.247584,0,494.563522,0.989,0.001444,161.550291,0.223443,0,2335.173625,1,0.021511,20.109676,0.372417,0,188.975642,1,0.048822,29.791279,0.384281,0.076279,41.256211
0.994,0.000156,46.070921,0.157425,0.054122,0.313736,0.965,0.932556,67.297712,0.141791,0.529321,0.122744,1,0.429667,11.734095,0.268462,0.133715,1.012315,1,0.058,54.034992,0.387264,0.549603,125.628927
